epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41782,1.78208,2.88656,2.01608,0.01267,0.86364,0.18439,0.06811,2.17603,2.73581,2.06808,0.00054,0.00054,0.00054
2,2.33084,1.67075,2.84845,1.89579,0.01267,0.86364,0.18439,0.06811,2.17603,2.73581,2.06808,0.00107822,0.00107822,0.00107822
3,3.27969,1.78226,2.73799,1.79366,0.4085,0.13636,0.26436,0.14992,1.48026,2.43369,1.46576,0.00159426,0.00159426,0.00159426
4,4.23937,1.78255,2.6327,1.74637,0.4085,0.13636,0.26436,0.14992,1.48026,2.43369,1.46576,0.0018812,0.0018812,0.0018812
5,5.213,2.00857,2.70728,2.02806,0.16884,0.13636,0.14249,0.05813,2.71132,2.89945,2.9752,0.0018416,0.0018416,0.0018416
6,6.15873,2.29437,2.90995,2.31438,0.16884,0.13636,0.14249,0.05813,2.71132,2.89945,2.9752,0.001802,0.001802,0.001802
7,7.09955,2.16807,2.78634,2.23139,0.28931,0.22727,0.18974,0.05519,2.3784,2.47424,2.30461,0.0017624,0.0017624,0.0017624
8,8.03124,2.30458,2.76394,2.26931,0.28931,0.22727,0.18974,0.05519,2.3784,2.47424,2.30461,0.0017228,0.0017228,0.0017228
9,8.96113,2.19115,2.77788,2.19428,0.16758,0.31818,0.10955,0.04195,2.45189,8.07315,2.75187,0.0016832,0.0016832,0.0016832
10,9.88153,1.91382,2.57505,1.98607,0.16758,0.31818,0.10955,0.04195,2.45189,8.07315,2.75187,0.0016436,0.0016436,0.0016436
11,10.8059,1.95326,2.58134,1.98914,0.16758,0.31818,0.10955,0.04195,2.45189,8.07315,2.75187,0.001604,0.001604,0.001604
12,11.7365,1.92226,2.42416,1.96118,0.84922,0.18182,0.24899,0.08054,2.39561,3.66113,2.70048,0.0015644,0.0015644,0.0015644
13,12.6552,1.82902,2.34718,1.83975,0.84922,0.18182,0.24899,0.08054,2.39561,3.66113,2.70048,0.0015248,0.0015248,0.0015248
14,13.5949,1.73452,2.38714,1.85646,0.36646,0.31818,0.38843,0.19735,1.63312,2.00238,1.6856,0.0014852,0.0014852,0.0014852
15,14.5727,1.66803,2.12978,1.74871,0.36646,0.31818,0.38843,0.19735,1.63312,2.00238,1.6856,0.0014456,0.0014456,0.0014456
16,15.5028,1.58083,2.24754,1.73677,0.39246,0.54545,0.43511,0.27298,1.66369,1.90573,1.59194,0.001406,0.001406,0.001406
17,16.4255,1.61343,2.10145,1.70028,0.39246,0.54545,0.43511,0.27298,1.66369,1.90573,1.59194,0.0013664,0.0013664,0.0013664
18,17.3477,1.55777,1.97878,1.64133,0.39246,0.54545,0.43511,0.27298,1.66369,1.90573,1.59194,0.0013268,0.0013268,0.0013268
19,18.2908,1.62737,1.99461,1.70949,0.71388,0.40909,0.48863,0.32919,1.46449,1.79097,1.49149,0.0012872,0.0012872,0.0012872
20,19.2366,1.52198,1.89195,1.59184,0.71388,0.40909,0.48863,0.32919,1.46449,1.79097,1.49149,0.0012476,0.0012476,0.0012476
21,20.2133,1.41944,1.87427,1.56195,0.54872,0.40909,0.48576,0.3319,1.26336,1.96233,1.37653,0.001208,0.001208,0.001208
22,21.1331,1.47057,1.91027,1.64188,0.54872,0.40909,0.48576,0.3319,1.26336,1.96233,1.37653,0.0011684,0.0011684,0.0011684
23,22.0668,1.31597,1.78221,1.53437,0.51798,0.63636,0.59245,0.37223,1.50228,1.89789,1.45142,0.0011288,0.0011288,0.0011288
24,22.9979,1.41137,1.88537,1.586,0.51798,0.63636,0.59245,0.37223,1.50228,1.89789,1.45142,0.0010892,0.0010892,0.0010892
25,23.9393,1.33607,1.7222,1.53072,0.90584,0.59091,0.71088,0.38296,1.41243,1.6591,1.34786,0.0010496,0.0010496,0.0010496
26,24.8654,1.3203,1.73536,1.47702,0.90584,0.59091,0.71088,0.38296,1.41243,1.6591,1.34786,0.00101,0.00101,0.00101
27,25.7858,1.32314,1.6923,1.53412,0.90584,0.59091,0.71088,0.38296,1.41243,1.6591,1.34786,0.0009704,0.0009704,0.0009704
28,26.7212,1.20309,1.60483,1.40613,0.761,0.72727,0.77971,0.47984,1.18484,1.53685,1.26314,0.0009308,0.0009308,0.0009308
