epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.32741,1.85992,5.39089,2.88398,2.06266,0.01067,0.72727,0.09699,0.05274,0.002,0.13636,0.00401,0.0006,2.08283,3.99005,2.75301,2.18723,0.00054,0.00054,0.00054
2,2.3636,1.792,5.70768,2.86272,1.98497,0.01067,0.72727,0.09699,0.05274,0.002,0.13636,0.00401,0.0006,2.08283,3.99005,2.75301,2.18723,0.00107822,0.00107822,0.00107822
3,3.36479,1.98104,5.59123,2.94528,2.11604,0.01133,0.77273,0.23536,0.1606,0.00533,0.36364,0.18639,0.0871,1.68178,2.44191,2.64275,1.87287,0.00159426,0.00159426,0.00159426
4,4.33789,1.93911,5.54051,2.8812,2.11329,0.01133,0.77273,0.23536,0.1606,0.00533,0.36364,0.18639,0.0871,1.68178,2.44191,2.64275,1.87287,0.0018812,0.0018812,0.0018812
5,5.31633,1.9882,5.73266,2.89758,2.12683,0.08588,0.45455,0.23701,0.14486,0.42548,0.22727,0.2029,0.08029,1.7104,2.45631,2.63173,1.86801,0.0018416,0.0018416,0.0018416
6,6.28388,1.89211,5.20803,2.97204,2.02435,0.08588,0.45455,0.23701,0.14486,0.42548,0.22727,0.2029,0.08029,1.7104,2.45631,2.63173,1.86801,0.001802,0.001802,0.001802
7,7.25707,1.85677,5.40036,2.92662,1.99065,0.7074,0.11312,0.26536,0.15252,0.50478,0.04545,0.16681,0.08325,1.78387,2.19471,2.61424,1.92281,0.0017624,0.0017624,0.0017624
8,8.22056,1.94348,5.41628,2.87336,2.15599,0.7074,0.11312,0.26536,0.15252,0.50478,0.04545,0.16681,0.08325,1.78387,2.19471,2.61424,1.92281,0.0017228,0.0017228,0.0017228
9,9.22798,1.87436,5.67985,2.85026,2.01777,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.0016832,0.0016832,0.0016832
10,10.2723,2.32634,2.7713,2.86812,2.18384,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.0016436,0.0016436,0.0016436
11,11.317,2.41478,2.69006,2.88652,2.22295,0.30442,0.18182,0.14655,0.0515,0.01102,0.09091,0.00358,0.00106,2.55172,3.88046,3.26118,2.80973,0.001604,0.001604,0.001604
12,12.3737,2.31843,1.898,2.83202,2.24641,0.33333,0.18182,0.17379,0.08068,0.02771,0.22727,0.01088,0.00282,2.64019,2.21328,12.1428,4.58015,0.0015644,0.0015644,0.0015644
13,13.4216,2.27247,1.5601,2.74849,2.21448,0.33333,0.18182,0.17379,0.08068,0.02771,0.22727,0.01088,0.00282,2.64019,2.21328,12.1428,4.58015,0.0015248,0.0015248,0.0015248
14,14.5003,2.22189,1.7449,2.8923,2.21513,0.02757,0.5,0.01963,0.00783,0.00123,0.04545,0.00042,0.00011,2.83771,4.60772,5.49963,3.05218,0.0014852,0.0014852,0.0014852
15,15.5602,2.29288,1.56483,2.67811,2.18487,0.02757,0.5,0.01963,0.00783,0.00123,0.04545,0.00042,0.00011,2.83771,4.60772,5.49963,3.05218,0.0014456,0.0014456,0.0014456
16,16.6184,2.19582,1.50668,2.67426,2.13863,0.12417,0.13636,0.08724,0.02492,0.00949,0.13636,0.00658,0.00113,2.61401,1.46583,4.88019,2.44422,0.001406,0.001406,0.001406
17,17.6695,2.21823,1.36825,2.58591,2.11084,0.12417,0.13636,0.08724,0.02492,0.00949,0.13636,0.00658,0.00113,2.61401,1.46583,4.88019,2.44422,0.0013664,0.0013664,0.0013664
18,18.7287,2.19774,1.39236,2.58424,2.10656,0.12417,0.13636,0.08724,0.02492,0.00949,0.13636,0.00658,0.00113,2.61401,1.46583,4.88019,2.44422,0.0013268,0.0013268,0.0013268
19,19.7928,2.09729,1.26537,2.54069,2.09413,0.14902,0.40909,0.10757,0.05056,0.02847,0.13636,0.01207,0.00309,2.05408,1.55875,8.08449,1.97037,0.0012872,0.0012872,0.0012872
20,20.8542,2.00111,1.11933,2.41863,1.99479,0.14902,0.40909,0.10757,0.05056,0.02847,0.13636,0.01207,0.00309,2.05408,1.55875,8.08449,1.97037,0.0012476,0.0012476,0.0012476
21,21.919,1.89226,1.15302,2.38561,1.90038,0.42937,0.54545,0.38034,0.15014,0.21104,0.29217,0.08275,0.02711,2.16134,1.26162,3.24242,2.03817,0.001208,0.001208,0.001208
22,22.9682,1.89829,1.15216,2.36327,1.97999,0.42937,0.54545,0.38034,0.15014,0.21104,0.29217,0.08275,0.02711,2.16134,1.26162,3.24242,2.03817,0.0011684,0.0011684,0.0011684
23,24.0301,1.6306,1.13464,2.2139,1.72838,0.41109,0.5,0.39029,0.19731,0.2583,0.31818,0.11104,0.03774,1.66726,1.14383,2.18527,1.62784,0.0011288,0.0011288,0.0011288
24,25.0738,1.61692,1.19062,2.18774,1.73332,0.41109,0.5,0.39029,0.19731,0.2583,0.31818,0.11104,0.03774,1.66726,1.14383,2.18527,1.62784,0.0010892,0.0010892,0.0010892
25,26.122,1.53411,1.05379,2.0606,1.65036,0.58037,0.59091,0.5503,0.27818,0.3104,0.31818,0.11983,0.04037,1.62676,1.13565,2.01947,1.56331,0.0010496,0.0010496,0.0010496
26,27.1825,1.53309,1.03415,2.06558,1.65347,0.58037,0.59091,0.5503,0.27818,0.3104,0.31818,0.11983,0.04037,1.62676,1.13565,2.01947,1.56331,0.00101,0.00101,0.00101
27,28.2299,1.53723,1.13465,1.97264,1.6894,0.58037,0.59091,0.5503,0.27818,0.3104,0.31818,0.11983,0.04037,1.62676,1.13565,2.01947,1.56331,0.0009704,0.0009704,0.0009704
28,29.315,1.50354,0.9488,1.94054,1.61959,0.58704,0.63636,0.53404,0.25935,0.28363,0.31818,0.12871,0.04433,1.65494,1.12136,1.87637,1.53379,0.0009308,0.0009308,0.0009308
29,30.3838,1.50812,0.97216,1.98015,1.67421,0.58704,0.63636,0.53404,0.25935,0.28363,0.31818,0.12871,0.04433,1.65494,1.12136,1.87637,1.53379,0.0008912,0.0008912,0.0008912
30,31.4471,1.4781,1.10112,1.91822,1.635,0.7728,0.59091,0.66314,0.3849,0.494,0.31109,0.22339,0.09252,1.4829,1.08184,1.74655,1.45481,0.0008516,0.0008516,0.0008516
31,32.4945,1.43163,1.03607,1.79434,1.59424,0.7728,0.59091,0.66314,0.3849,0.494,0.31109,0.22339,0.09252,1.4829,1.08184,1.74655,1.45481,0.000812,0.000812,0.000812
