epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.66063,1.8588,4.12135,2.93145,2.01532,0.01519,0.97619,0.46763,0.22207,0.00704,0.45238,0.10101,0.03271,1.19792,1.2304,2.5138,1.31844,0.00052,0.00052,0.00052
2,2.86271,1.58221,1.56906,2.6022,1.64997,0.32051,0.52381,0.37979,0.20708,0.0177,0.35714,0.0432,0.01275,1.39145,1.6904,2.24732,1.51032,0.00104951,0.00104951,0.00104951
3,4.01419,1.63172,1.48656,2.41359,1.59987,0.39691,0.40476,0.25948,0.08479,0.06823,0.07143,0.01679,0.0041,2.25096,1.70886,2.28113,2.64385,0.00156832,0.00156832,0.00156832
4,5.15056,1.90412,1.4672,2.47547,1.88636,0.39691,0.40476,0.25948,0.08479,0.06823,0.07143,0.01679,0.0041,2.25096,1.70886,2.28113,2.64385,0.0019406,0.0019406,0.0019406
5,6.31045,1.86904,1.55571,2.29073,1.85128,0.18785,0.26438,0.16374,0.05976,0.05354,0.07143,0.00684,0.00246,1.95637,2.91706,2.53085,2.38624,0.0019208,0.0019208,0.0019208
6,7.42569,1.68691,1.33187,2.11708,1.70571,0.53758,0.54762,0.54502,0.28401,0.22628,0.21429,0.06813,0.01822,1.52335,1.49345,2.31528,1.84296,0.001901,0.001901,0.001901
7,8.53055,1.63798,1.29646,2.00246,1.69178,0.62144,0.62548,0.62089,0.34658,0.16522,0.21429,0.05918,0.01499,1.61243,1.63056,3.25975,1.73874,0.0018812,0.0018812,0.0018812
8,9.65227,1.66135,1.34261,1.8843,1.6603,0.40405,0.66667,0.50009,0.20503,0.28571,0.09524,0.08054,0.01201,1.62616,1.40472,4.70729,1.88689,0.0018614,0.0018614,0.0018614
9,10.7962,1.67717,1.35603,1.96297,1.72915,0.70622,0.62974,0.72659,0.36815,0.19746,0.21429,0.07448,0.0249,1.43047,1.14563,2.28814,1.51398,0.0018416,0.0018416,0.0018416
10,11.9515,1.57788,1.1858,1.85954,1.62895,0.70622,0.62974,0.72659,0.36815,0.19746,0.21429,0.07448,0.0249,1.43047,1.14563,2.28814,1.51398,0.0018218,0.0018218,0.0018218
11,13.111,1.43626,1.16897,1.65765,1.5066,0.66995,0.54762,0.68426,0.3565,0.37897,0.2907,0.23187,0.08986,1.49989,1.06525,1.7127,1.50562,0.001802,0.001802,0.001802
12,14.268,1.46715,1.09711,1.70517,1.54156,0.53167,0.40476,0.39803,0.17984,0.34127,0.19048,0.17566,0.03985,1.56881,1.12784,2.79151,1.59887,0.0017822,0.0017822,0.0017822
13,15.4007,1.45094,1.24544,1.61788,1.52932,0.66567,0.45238,0.5941,0.33591,0.4243,0.35714,0.29154,0.0896,1.58328,1.11695,1.94695,1.5628,0.0017624,0.0017624,0.0017624
14,16.5401,1.48326,1.19945,1.60392,1.53833,0.87627,0.64286,0.78493,0.41898,0.50635,0.38095,0.33049,0.11121,1.40741,1.09234,1.51172,1.49356,0.0017426,0.0017426,0.0017426
15,17.7082,1.387,1.16462,1.51392,1.47945,0.89265,0.83333,0.87568,0.55281,0.44553,0.42102,0.24792,0.08615,1.25529,1.11835,1.40071,1.31165,0.0017228,0.0017228,0.0017228
16,18.8943,1.3649,1.09135,1.46333,1.46593,0.89589,0.7619,0.86401,0.57185,0.37035,0.33333,0.15557,0.05369,1.06426,1.11304,1.2473,1.14116,0.001703,0.001703,0.001703
17,20.0457,1.31865,1.11591,1.43081,1.42026,0.89589,0.7619,0.86401,0.57185,0.37035,0.33333,0.15557,0.05369,1.06426,1.11304,1.2473,1.14116,0.0016832,0.0016832,0.0016832
18,21.1905,1.23418,1.06084,1.3725,1.37391,0.91183,0.59524,0.72346,0.50793,0.5471,0.35714,0.2518,0.07936,1.0328,1.11742,1.28111,1.19005,0.0016634,0.0016634,0.0016634
19,22.345,1.20219,0.97689,1.36342,1.36119,0.84272,0.78571,0.84172,0.6046,0.53253,0.37976,0.25242,0.09031,1.02488,1.04489,1.17384,1.14141,0.0016436,0.0016436,0.0016436
20,23.5527,1.32419,0.92911,1.40001,1.44758,0.97052,0.78399,0.86937,0.63008,0.44733,0.35714,0.18691,0.06745,1.04763,0.95282,1.0686,1.17685,0.0016238,0.0016238,0.0016238
21,24.721,1.22951,0.9225,1.39282,1.37917,0.8719,0.78571,0.87622,0.56625,0.44555,0.33333,0.19039,0.0609,1.17749,0.99834,1.19591,1.24459,0.001604,0.001604,0.001604
22,25.8235,1.24378,0.96359,1.35184,1.36691,0.92844,0.83333,0.88566,0.589,0.45209,0.40476,0.27745,0.07489,1.19886,1.07072,1.17593,1.29335,0.0015842,0.0015842,0.0015842
23,26.891,1.276,1.02382,1.38887,1.38618,0.92844,0.83333,0.88566,0.589,0.45209,0.40476,0.27745,0.07489,1.19886,1.07072,1.17593,1.29335,0.0015644,0.0015644,0.0015644
24,27.9828,1.26949,1.07025,1.43789,1.43125,0.8558,0.84794,0.90429,0.6681,0.62877,0.48408,0.38092,0.11357,1.01129,0.99941,1.09288,1.19062,0.0015446,0.0015446,0.0015446
25,29.0916,1.15761,0.88713,1.24731,1.32132,0.93399,0.67395,0.86091,0.65614,0.55491,0.45238,0.33393,0.1171,1.0022,0.92282,1.05511,1.19773,0.0015248,0.0015248,0.0015248
